Order ID,Timestamp Local Date,Order Status,Subtotal
DD-000108,2025-07-06 20:50:00,Delivered,49.53
DD-000109,2025-07-06 12:17:00,Delivered,33.38
DD-000110,2025-07-06 18:03:00,Delivered,59.0
DD-000111,2025-07-06 17:06:00,Delivered,71.64
DD-000112,2025-07-06 18:58:00,Delivered,87.81
DD-000113,2025-07-06 19:19:00,Delivered,22.97
DD-000114,2025-07-06 19:54:00,Delivered,35.0
DD-000115,2025-07-06 19:55:00,Delivered,19.15
DD-000116,2025-07-06 17:56:00,Delivered,46.66
DD-000117,2025-07-06 18:55:00,Delivered,64.59
DD-000118,2025-07-06 19:09:00,Delivered,62.43
DD-000119,2025-07-06 13:39:00,Delivered,23.82
DD-000120,2025-07-06 12:27:00,Delivered,45.56
DD-000121,2025-07-06 11:43:00,Delivered,42.53
DD-000122,2025-07-06 21:43:00,Delivered,36.11
DD-000123,2025-07-07 11:38:00,Delivered,46.24
DD-000124,2025-07-07 20:38:00,Delivered,56.66
DD-000125,2025-07-07 19:32:00,Delivered,36.11
DD-000126,2025-07-07 19:01:00,Delivered,39.55
DD-000127,2025-07-07 13:23:00,Delivered,31.82
DD-000128,2025-07-07 12:43:00,Delivered,28.97
DD-000129,2025-07-07 12:48:00,Delivered,34.07
DD-000130,2025-07-07 18:07:00,Delivered,114.04
DD-000131,2025-07-07 11:29:00,Delivered,65.81
DD-000132,2025-07-07 19:58:00,Delivered,39.06
DD-000133,2025-07-07 19:13:00,Delivered,54.23
DD-000134,2025-07-07 18:52:00,Delivered,60.98
DD-000135,2025-07-07 18:50:00,Delivered,62.5
DD-000136,2025-07-07 11:15:00,Delivered,23.5
DD-000137,2025-07-07 11:38:00,Delivered,46.4
DD-000138,2025-07-07 13:05:00,Delivered,34.66
DD-000139,2025-07-08 20:41:00,Delivered,35.92
DD-000140,2025-07-08 18:40:00,Delivered,20.65
DD-000141,2025-07-08 17:59:00,Delivered,27.23
DD-000142,2025-07-08 18:41:00,Delivered,65.49
DD-000143,2025-07-08 20:25:00,Delivered,45.48
DD-000144,2025-07-08 19:05:00,Delivered,27.56
DD-000145,2025-07-08 17:45:00,Delivered,34.97
DD-000146,2025-07-08 18:18:00,Delivered,65.25
DD-000147,2025-07-08 17:00:00,Delivered,19.74
DD-000148,2025-07-08 17:27:00,Delivered,36.86
DD-000149,2025-07-08 18:06:00,Delivered,56.83
DD-000150,2025-07-08 13:47:00,Delivered,20.68
DD-000151,2025-07-08 19:15:00,Delivered,43.37
DD-000152,2025-07-08 17:06:00,Delivered,36.48
DD-000153,2025-07-08 11:30:00,Delivered,44.61
DD-000154,2025-07-09 20:43:00,Delivered,37.68
DD-000155,2025-07-09 18:24:00,Delivered,31.29
DD-000156,2025-07-09 19:23:00,Delivered,45.99
DD-000157,2025-07-09 21:40:00,Delivered,73.31
DD-000158,2025-07-09 18:16:00,Delivered,33.19
DD-000159,2025-07-09 19:20:00,Delivered,71.04
DD-000160,2025-07-09 13:56:00,Delivered,27.69
DD-000161,2025-07-09 19:28:00,Delivered,53.36
DD-000162,2025-07-09 13:50:00,Delivered,22.85
DD-000163,2025-07-09 12:10:00,Delivered,28.21
DD-000164,2025-07-09 21:06:00,Delivered,26.48
DD-000165,2025-07-09 19:06:00,Delivered,32.15
DD-000166,2025-07-09 12:28:00,Delivered,28.44
DD-000167,2025-07-09 20:02:00,Delivered,54.41
DD-000168,2025-07-09 19:28:00,Delivered,28.22
DD-000169,2025-07-09 17:40:00,Delivered,65.38
DD-000170,2025-07-09 21:34:00,Delivered,83.28
DD-000171,2025-07-09 19:41:00,Delivered,42.38
DD-000172,2025-07-09 21:35:00,Delivered,36.61
DD-000173,2025-07-10 20:50:00,Delivered,45.69
DD-000174,2025-07-10 12:27:00,Delivered,37.67
DD-000175,2025-07-10 19:53:00,Delivered,24.37
DD-000176,2025-07-10 11:24:00,Delivered,24.6
DD-000177,2025-07-10 11:39:00,Delivered,26.12
DD-000178,2025-07-10 19:16:00,Delivered,42.99
DD-000179,2025-07-10 19:03:00,Delivered,20.34
DD-000180,2025-07-10 17:46:00,Delivered,43.14
DD-000181,2025-07-10 12:58:00,Delivered,33.52
DD-000182,2025-07-10 13:48:00,Delivered,88.42
DD-000183,2025-07-10 20:24:00,Delivered,39.12
DD-000184,2025-07-10 13:37:00,Delivered,74.9
DD-000185,2025-07-10 13:49:00,Delivered,59.98
DD-000186,2025-07-10 21:30:00,Delivered,55.34
DD-000187,2025-07-10 21:26:00,Delivered,22.35
DD-000188,2025-07-10 13:20:00,Delivered,58.45
DD-000189,2025-07-11 12:59:00,Delivered,40.38
DD-000190,2025-07-11 18:24:00,Delivered,40.55
DD-000191,2025-07-11 13:39:00,Delivered,22.05
DD-000192,2025-07-11 19:08:00,Delivered,73.76
DD-000193,2025-07-11 13:57:00,Delivered,29.07
DD-000194,2025-07-11 18:29:00,Delivered,41.77
DD-000195,2025-07-11 19:37:00,Delivered,65.51
DD-000196,2025-07-11 17:14:00,Delivered,44.91
DD-000197,2025-07-11 19:15:00,Delivered,52.39
DD-000198,2025-07-11 18:19:00,Delivered,35.87
DD-000199,2025-07-11 20:36:00,Delivered,55.38
DD-000200,2025-07-11 19:09:00,Delivered,54.46
DD-000201,2025-07-11 18:13:00,Delivered,37.29
DD-000202,2025-07-11 20:44:00,Delivered,57.77
DD-000203,2025-07-12 13:13:00,Delivered,25.72
DD-000204,2025-07-12 19:37:00,Delivered,68.87
DD-000205,2025-07-12 11:14:00,Delivered,36.21
DD-000206,2025-07-12 11:35:00,Delivered,31.13
DD-000207,2025-07-12 12:32:00,Delivered,50.73
DD-000208,2025-07-12 13:24:00,Delivered,41.09
DD-000209,2025-07-12 18:05:00,Delivered,36.37
DD-000210,2025-07-12 17:07:00,Delivered,31.73
DD-000211,2025-07-12 18:50:00,Delivered,45.89
DD-000212,2025-07-12 12:30:00,Delivered,53.29
DD-000213,2025-07-12 13:14:00,Delivered,46.77
DD-000214,2025-07-12 17:34:00,Delivered,54.04
DD-000215,2025-07-12 19:12:00,Delivered,44.63
DD-000216,2025-07-12 11:12:00,Delivered,67.01
DD-000217,2025-07-12 13:32:00,Delivered,26.03
DD-000218,2025-07-12 19:42:00,Delivered,28.12
DD-000219,2025-07-12 20:25:00,Delivered,27.85
DD-000220,2025-07-12 18:37:00,Delivered,54.47
DD-000221,2025-07-12 11:20:00,Delivered,67.77
DD-000222,2025-07-12 21:07:00,Delivered,34.22
DD-000223,2025-07-12 18:42:00,Delivered,72.9
DD-000224,2025-07-12 12:05:00,Delivered,40.37
DD-000225,2025-07-12 19:38:00,Delivered,53.45
DD-000226,2025-07-12 18:04:00,Delivered,40.63
DD-000227,2025-07-12 13:27:00,Delivered,32.9
DD-000228,2025-07-12 13:38:00,Delivered,43.06
DD-000229,2025-07-12 12:48:00,Delivered,58.97
DD-000230,2025-07-12 18:43:00,Delivered,83.1
DD-000231,2025-07-12 19:41:00,Delivered,43.07
DD-000232,2025-07-12 11:00:00,Delivered,27.51
DD-000233,2025-07-12 19:20:00,Delivered,36.58
DD-000234,2025-07-12 13:39:00,Delivered,37.86
DD-000235,2025-07-13 11:10:00,Delivered,35.11
DD-000236,2025-07-13 19:36:00,Delivered,48.94
DD-000237,2025-07-13 20:32:00,Delivered,45.74
DD-000238,2025-07-13 13:34:00,Delivered,38.26
DD-000239,2025-07-13 11:47:00,Delivered,55.62
DD-000240,2025-07-13 19:24:00,Delivered,33.03
DD-000241,2025-07-13 13:56:00,Delivered,41.06
DD-000242,2025-07-13 12:09:00,Delivered,51.2
DD-000243,2025-07-13 19:07:00,Delivered,33.9
DD-000244,2025-07-13 13:04:00,Delivered,28.39
DD-000245,2025-07-13 18:45:00,Delivered,40.95
DD-000246,2025-07-13 13:18:00,Delivered,42.05
DD-000247,2025-07-13 18:58:00,Delivered,52.18
DD-000248,2025-07-13 18:40:00,Delivered,41.67
DD-000249,2025-07-13 11:33:00,Delivered,31.08
DD-000250,2025-07-13 18:50:00,Delivered,41.71
DD-000251,2025-07-13 13:55:00,Delivered,24.61
DD-000252,2025-07-14 19:19:00,Delivered,42.63
DD-000253,2025-07-14 12:48:00,Delivered,32.27
DD-000254,2025-07-14 19:56:00,Delivered,32.88
DD-000255,2025-07-14 17:05:00,Delivered,50.14
DD-000256,2025-07-14 13:59:00,Delivered,24.52
DD-000257,2025-07-14 19:14:00,Delivered,25.39
DD-000258,2025-07-14 11:36:00,Delivered,60.06
DD-000259,2025-07-14 13:02:00,Delivered,31.85
DD-000260,2025-07-14 18:14:00,Delivered,19.46
DD-000261,2025-07-14 18:10:00,Delivered,53.39
DD-000262,2025-07-14 21:11:00,Delivered,30.92
DD-000263,2025-07-15 17:34:00,Delivered,42.47
DD-000264,2025-07-15 18:35:00,Delivered,52.87
DD-000265,2025-07-15 11:13:00,Delivered,36.46
DD-000266,2025-07-15 19:59:00,Delivered,37.19
DD-000267,2025-07-15 12:01:00,Delivered,44.76
DD-000268,2025-07-15 20:43:00,Delivered,35.37
DD-000269,2025-07-15 20:07:00,Delivered,40.41
DD-000270,2025-07-15 18:45:00,Delivered,38.71
DD-000271,2025-07-15 21:38:00,Delivered,38.59
DD-000272,2025-07-15 20:27:00,Delivered,19.99
DD-000273,2025-07-15 18:04:00,Delivered,41.98
DD-000274,2025-07-15 18:27:00,Delivered,57.64
DD-000275,2025-07-15 19:34:00,Delivered,20.68
DD-000276,2025-07-15 18:22:00,Delivered,30.26
DD-000277,2025-07-15 11:13:00,Delivered,46.51
DD-000278,2025-07-15 12:30:00,Delivered,46.19
DD-000279,2025-07-15 12:53:00,Delivered,31.0
DD-000280,2025-07-16 13:50:00,Delivered,40.51
DD-000281,2025-07-16 12:34:00,Delivered,46.6
DD-000282,2025-07-16 20:03:00,Delivered,78.24
DD-000283,2025-07-16 17:35:00,Delivered,32.15
DD-000284,2025-07-16 17:04:00,Delivered,46.71
DD-000285,2025-07-16 20:32:00,Delivered,61.06
DD-000286,2025-07-16 18:04:00,Delivered,41.16
DD-000287,2025-07-16 11:22:00,Delivered,39.49
DD-000288,2025-07-16 17:40:00,Delivered,49.8
DD-000289,2025-07-16 21:50:00,Delivered,64.5
DD-000290,2025-07-16 17:56:00,Delivered,36.13
DD-000291,2025-07-16 19:06:00,Delivered,58.8
DD-000292,2025-07-16 20:31:00,Delivered,47.26
DD-000293,2025-07-16 17:20:00,Delivered,23.4
DD-000294,2025-07-16 18:19:00,Delivered,33.11
DD-000295,2025-07-17 11:17:00,Delivered,27.56
DD-000296,2025-07-17 19:15:00,Delivered,20.99
DD-000297,2025-07-17 17:15:00,Delivered,33.88
DD-000298,2025-07-17 17:54:00,Delivered,77.24
DD-000299,2025-07-17 19:26:00,Delivered,39.73
DD-000300,2025-07-17 19:36:00,Delivered,82.63
DD-000301,2025-07-17 19:01:00,Delivered,55.64
DD-000302,2025-07-17 18:19:00,Delivered,26.81
DD-000303,2025-07-17 18:04:00,Delivered,38.82
DD-000304,2025-07-17 13:21:00,Delivered,45.2
DD-000305,2025-07-17 21:51:00,Delivered,104.36
DD-000306,2025-07-17 19:59:00,Delivered,48.62
DD-000307,2025-07-17 21:16:00,Delivered,61.23
DD-000308,2025-07-17 12:07:00,Delivered,33.29
DD-000309,2025-07-17 12:00:00,Delivered,42.75
DD-000310,2025-07-17 18:11:00,Delivered,40.61
DD-000311,2025-07-17 21:55:00,Delivered,34.89
DD-000312,2025-07-17 12:11:00,Delivered,42.23
DD-000313,2025-07-17 20:34:00,Delivered,22.44
DD-000314,2025-07-17 11:28:00,Delivered,56.93
DD-000315,2025-07-18 11:59:00,Delivered,41.85
DD-000316,2025-07-18 19:58:00,Delivered,48.07
DD-000317,2025-07-18 19:34:00,Delivered,47.22
DD-000318,2025-07-18 20:19:00,Delivered,49.12
DD-000319,2025-07-18 18:13:00,Delivered,54.33
DD-000320,2025-07-18 12:53:00,Delivered,63.07
DD-000321,2025-07-18 18:15:00,Delivered,34.52
DD-000322,2025-07-18 18:39:00,Delivered,36.97
DD-000323,2025-07-18 18:07:00,Delivered,36.99
DD-000324,2025-07-18 12:46:00,Delivered,106.1
DD-000325,2025-07-18 20:45:00,Delivered,62.24
DD-000326,2025-07-18 20:16:00,Delivered,50.74
DD-000327,2025-07-18 21:58:00,Delivered,42.24
DD-000328,2025-07-18 12:32:00,Delivered,17.14
DD-000329,2025-07-18 19:05:00,Delivered,27.48
DD-000330,2025-07-18 20:42:00,Delivered,54.15
DD-000331,2025-07-18 13:43:00,Delivered,31.66
DD-000332,2025-07-18 13:43:00,Delivered,48.22
DD-000333,2025-07-18 18:23:00,Delivered,68.62
DD-000334,2025-07-18 17:54:00,Delivered,33.54
DD-000335,2025-07-18 19:39:00,Delivered,34.64
DD-000336,2025-07-18 13:57:00,Delivered,29.48
DD-000337,2025-07-18 17:45:00,Delivered,45.4
DD-000338,2025-07-19 19:00:00,Delivered,56.29
DD-000339,2025-07-19 20:29:00,Delivered,50.09
DD-000340,2025-07-19 19:22:00,Delivered,32.87
DD-000341,2025-07-19 17:22:00,Delivered,39.57
DD-000342,2025-07-19 19:47:00,Delivered,37.16
DD-000343,2025-07-19 17:37:00,Delivered,24.99
DD-000344,2025-07-19 20:19:00,Delivered,43.31
DD-000345,2025-07-19 18:56:00,Delivered,35.07
DD-000346,2025-07-19 20:05:00,Delivered,27.6
DD-000347,2025-07-19 20:17:00,Delivered,30.13
DD-000348,2025-07-19 17:56:00,Delivered,65.65
DD-000349,2025-07-19 20:45:00,Delivered,48.93
DD-000350,2025-07-19 19:58:00,Delivered,78.32
DD-000351,2025-07-19 21:51:00,Delivered,33.54
DD-000352,2025-07-19 17:47:00,Delivered,60.56
DD-000353,2025-07-19 20:48:00,Delivered,48.87
DD-000354,2025-07-19 18:10:00,Delivered,49.85
DD-000355,2025-07-19 19:39:00,Delivered,46.32
DD-000356,2025-07-19 18:43:00,Delivered,27.44
DD-000357,2025-07-19 11:23:00,Delivered,57.06
DD-000358,2025-07-19 12:20:00,Delivered,38.56
DD-000359,2025-07-19 18:02:00,Delivered,29.24
DD-000360,2025-07-19 12:39:00,Delivered,56.96
DD-000361,2025-07-19 13:25:00,Delivered,45.05
DD-000362,2025-07-19 19:36:00,Delivered,34.13
DD-000363,2025-07-19 18:20:00,Delivered,32.64
DD-000364,2025-07-20 19:35:00,Delivered,30.74
DD-000365,2025-07-20 20:01:00,Delivered,41.74
DD-000366,2025-07-20 11:22:00,Delivered,32.31
DD-000367,2025-07-20 11:02:00,Delivered,84.68
DD-000368,2025-07-20 13:21:00,Delivered,46.82
DD-000369,2025-07-20 12:57:00,Delivered,31.77
DD-000370,2025-07-20 13:54:00,Delivered,36.05
DD-000371,2025-07-20 13:39:00,Delivered,34.13
DD-000372,2025-07-20 19:55:00,Delivered,18.73
DD-000373,2025-07-20 19:27:00,Delivered,17.18
DD-000374,2025-07-20 12:02:00,Delivered,32.65
DD-000375,2025-07-20 11:34:00,Delivered,46.91
DD-000376,2025-07-21 18:21:00,Delivered,51.24
DD-000377,2025-07-21 17:08:00,Delivered,28.5
DD-000378,2025-07-21 18:31:00,Delivered,57.68
DD-000379,2025-07-21 20:52:00,Delivered,37.55
DD-000380,2025-07-21 20:54:00,Delivered,30.45
DD-000381,2025-07-21 18:48:00,Delivered,26.63
DD-000382,2025-07-21 12:29:00,Delivered,45.51
DD-000383,2025-07-21 17:04:00,Delivered,31.44
DD-000384,2025-07-21 18:07:00,Delivered,57.08
DD-000385,2025-07-21 21:21:00,Delivered,32.65
DD-000386,2025-07-21 20:07:00,Delivered,43.66
DD-000387,2025-07-21 20:34:00,Delivered,38.41
DD-000388,2025-07-21 20:36:00,Delivered,46.37
DD-000389,2025-07-21 21:16:00,Delivered,29.98
DD-000390,2025-07-21 19:27:00,Delivered,28.11
DD-000391,2025-07-21 19:37:00,Delivered,39.88
DD-000392,2025-07-21 12:10:00,Delivered,67.8
DD-000393,2025-07-22 12:54:00,Delivered,29.86
DD-000394,2025-07-22 17:05:00,Delivered,53.93
DD-000395,2025-07-22 12:41:00,Delivered,40.48
DD-000396,2025-07-22 19:49:00,Delivered,34.99
DD-000397,2025-07-22 21:52:00,Delivered,32.37
DD-000398,2025-07-22 20:46:00,Delivered,26.15
DD-000399,2025-07-22 17:14:00,Delivered,57.16
DD-000400,2025-07-22 17:11:00,Delivered,26.28
DD-000401,2025-07-22 17:01:00,Delivered,59.45
DD-000402,2025-07-22 17:45:00,Delivered,39.09
DD-000403,2025-07-22 21:27:00,Delivered,61.24
DD-000404,2025-07-22 20:00:00,Delivered,33.23
DD-000405,2025-07-22 20:06:00,Delivered,23.7
DD-000406,2025-07-22 20:21:00,Delivered,43.45
DD-000407,2025-07-22 20:16:00,Delivered,55.27
DD-000408,2025-07-22 19:50:00,Delivered,36.06
DD-000409,2025-07-22 20:30:00,Delivered,61.92
DD-000410,2025-07-23 17:20:00,Delivered,41.04
DD-000411,2025-07-23 17:32:00,Delivered,54.33
DD-000412,2025-07-23 12:23:00,Delivered,51.61
DD-000413,2025-07-23 18:20:00,Delivered,55.16
DD-000414,2025-07-23 19:00:00,Delivered,37.56
DD-000415,2025-07-23 17:58:00,Delivered,39.26
DD-000416,2025-07-23 19:59:00,Delivered,65.93
DD-000417,2025-07-23 13:18:00,Delivered,18.42
DD-000418,2025-07-23 17:53:00,Delivered,32.1
DD-000419,2025-07-23 11:02:00,Delivered,23.18
DD-000420,2025-07-23 12:51:00,Delivered,60.29
DD-000421,2025-07-23 19:54:00,Delivered,107.0
DD-000422,2025-07-23 20:42:00,Delivered,64.76
DD-000423,2025-07-23 17:11:00,Delivered,36.93
DD-000424,2025-07-23 12:59:00,Delivered,28.78
DD-000425,2025-07-23 19:08:00,Delivered,50.08
DD-000426,2025-07-23 12:00:00,Delivered,30.57
DD-000427,2025-07-23 11:20:00,Delivered,43.4
DD-000428,2025-07-23 17:20:00,Delivered,33.14
DD-000429,2025-07-23 18:23:00,Delivered,40.15
DD-000430,2025-07-23 19:54:00,Delivered,30.66
DD-000431,2025-07-23 12:49:00,Delivered,41.07
DD-000432,2025-07-23 18:48:00,Delivered,33.34
DD-000433,2025-07-23 11:14:00,Delivered,27.11
DD-000434,2025-07-24 21:19:00,Delivered,39.77
DD-000435,2025-07-24 21:07:00,Delivered,32.07
DD-000436,2025-07-24 19:46:00,Delivered,59.11
DD-000437,2025-07-24 11:57:00,Delivered,47.32
DD-000438,2025-07-24 19:42:00,Delivered,58.7
DD-000439,2025-07-24 20:28:00,Delivered,24.21
DD-000440,2025-07-24 13:54:00,Delivered,57.83
DD-000441,2025-07-24 20:55:00,Delivered,27.8
DD-000442,2025-07-24 18:13:00,Delivered,36.86
DD-000443,2025-07-24 18:42:00,Delivered,32.31
DD-000444,2025-07-24 11:55:00,Delivered,70.76
DD-000445,2025-07-24 11:54:00,Delivered,24.79
DD-000446,2025-07-24 12:15:00,Delivered,50.52
DD-000447,2025-07-24 12:43:00,Delivered,23.69
DD-000448,2025-07-25 12:57:00,Delivered,33.65
DD-000449,2025-07-25 20:00:00,Delivered,53.13
DD-000450,2025-07-25 19:31:00,Delivered,62.99
DD-000451,2025-07-25 18:19:00,Delivered,38.52
DD-000452,2025-07-25 18:20:00,Delivered,30.82
DD-000453,2025-07-25 17:02:00,Delivered,25.39
DD-000454,2025-07-25 17:37:00,Delivered,31.33
DD-000455,2025-07-25 18:39:00,Delivered,24.73
DD-000456,2025-07-25 17:23:00,Delivered,61.05
DD-000457,2025-07-25 18:27:00,Delivered,73.41
DD-000458,2025-07-25 18:38:00,Delivered,30.6
DD-000459,2025-07-25 13:16:00,Delivered,43.77
DD-000460,2025-07-25 21:56:00,Delivered,27.59
DD-000461,2025-07-25 11:58:00,Delivered,19.64
DD-000462,2025-07-25 18:37:00,Delivered,58.06
DD-000463,2025-07-25 13:08:00,Delivered,67.39
DD-000464,2025-07-25 17:23:00,Delivered,57.04
DD-000465,2025-07-25 18:01:00,Delivered,55.46
DD-000466,2025-07-26 18:14:00,Delivered,40.07
DD-000467,2025-07-26 12:04:00,Delivered,45.12
DD-000468,2025-07-26 20:42:00,Delivered,68.64
DD-000469,2025-07-26 19:08:00,Delivered,29.08
DD-000470,2025-07-26 18:38:00,Delivered,52.99
DD-000471,2025-07-26 17:02:00,Delivered,39.4
DD-000472,2025-07-26 17:00:00,Delivered,47.82
DD-000473,2025-07-26 18:38:00,Delivered,25.94
DD-000474,2025-07-26 17:27:00,Delivered,44.25
DD-000475,2025-07-26 13:09:00,Delivered,38.23
DD-000476,2025-07-26 18:25:00,Delivered,60.85
DD-000477,2025-07-26 20:17:00,Delivered,60.86
DD-000478,2025-07-26 20:32:00,Delivered,47.91
DD-000479,2025-07-26 17:43:00,Delivered,18.69
DD-000480,2025-07-26 20:56:00,Delivered,64.38
DD-000481,2025-07-26 17:12:00,Delivered,20.69
DD-000482,2025-07-26 18:01:00,Delivered,46.76
DD-000483,2025-07-26 19:57:00,Delivered,54.78
DD-000484,2025-07-26 18:39:00,Delivered,28.19
DD-000485,2025-07-26 12:17:00,Delivered,61.55
DD-000486,2025-07-26 19:29:00,Delivered,22.35
DD-000487,2025-07-26 19:52:00,Delivered,38.99
DD-000488,2025-07-26 12:53:00,Delivered,26.42
DD-000489,2025-07-27 12:42:00,Delivered,32.49
DD-000490,2025-07-27 13:06:00,Delivered,42.47
DD-000491,2025-07-27 20:02:00,Delivered,26.46
DD-000492,2025-07-27 20:44:00,Delivered,20.9
DD-000493,2025-07-27 11:19:00,Delivered,36.38
DD-000494,2025-07-27 12:11:00,Delivered,28.61
DD-000495,2025-07-27 11:46:00,Delivered,39.78
DD-000496,2025-07-27 18:43:00,Delivered,36.67
DD-000497,2025-07-27 17:15:00,Delivered,86.2
