Check Number,Opened At,Order Type,Check Total
000245,2025-07-04 20:15:46,Dine-In,96.77
000246,2025-07-04 20:32:40,Dine-In,242.66
000247,2025-07-04 20:34:56,Dine-In,38.85
000248,2025-07-04 20:36:45,Dine-In,115.08
000249,2025-07-04 20:39:18,Dine-In,94.79
000250,2025-07-04 20:47:15,Dine-In,61.6
000251,2025-07-04 20:58:18,Dine-In,38.2
000252,2025-07-04 20:59:35,Dine-In,74.49
000253,2025-07-04 21:01:50,Dine-In,163.7
000254,2025-07-04 21:14:23,Dine-In,136.24
000255,2025-07-04 21:15:13,Dine-In,151.3
000256,2025-07-04 21:31:52,Dine-In,93.04
000257,2025-07-04 21:53:18,Dine-In,93.01
000258,2025-07-05 11:17:36,Dine-In,179.8
000259,2025-07-05 11:20:50,Dine-In,38.03
000260,2025-07-05 12:01:57,Dine-In,195.11
000261,2025-07-05 12:14:09,Dine-In,132.69
000262,2025-07-05 12:16:49,Dine-In,40.4
000263,2025-07-05 12:52:49,Dine-In,37.61
000264,2025-07-05 12:54:45,Dine-In,122.69
000265,2025-07-05 12:58:30,Dine-In,79.7
000266,2025-07-05 13:26:21,Dine-In,39.55
000267,2025-07-05 13:49:15,Dine-In,77.25
000268,2025-07-05 13:49:35,Dine-In,71.81
000269,2025-07-05 14:27:57,Dine-In,191.21
000270,2025-07-05 14:32:03,Dine-In,46.87
000271,2025-07-05 14:44:05,Dine-In,51.97
000272,2025-07-05 15:02:17,Dine-In,235.97
000273,2025-07-05 15:10:42,Dine-In,71.15
000274,2025-07-05 15:31:20,Dine-In,74.16
000275,2025-07-05 15:39:00,Dine-In,127.4
000276,2025-07-05 16:22:54,Dine-In,90.99
000277,2025-07-05 16:58:17,Dine-In,86.84
000278,2025-07-05 17:03:38,Dine-In,39.27
000279,2025-07-05 17:12:55,Dine-In,48.87
000280,2025-07-05 17:17:47,Dine-In,48.58
000281,2025-07-05 17:24:37,Dine-In,82.39
000282,2025-07-05 17:28:07,Dine-In,89.62
000283,2025-07-05 17:35:30,Dine-In,174.84
000284,2025-07-05 17:45:14,Dine-In,25.03
000285,2025-07-05 17:47:59,Dine-In,80.38
000286,2025-07-05 17:53:57,Dine-In,58.28
000287,2025-07-05 17:58:05,Dine-In,114.74
000288,2025-07-05 18:03:39,Dine-In,155.62
000289,2025-07-05 18:06:29,Dine-In,589.22
000290,2025-07-05 18:06:36,Dine-In,68.93
000291,2025-07-05 18:09:07,Dine-In,189.65
000292,2025-07-05 18:11:26,Dine-In,28.76
000293,2025-07-05 18:14:15,Dine-In,118.88
000294,2025-07-05 18:15:23,Dine-In,124.03
000295,2025-07-05 18:16:53,Dine-In,33.37
000296,2025-07-05 18:17:15,Dine-In,60.33
000297,2025-07-05 18:28:11,Dine-In,237.94
000298,2025-07-05 18:31:16,Dine-In,178.07
000299,2025-07-05 18:44:05,Dine-In,236.57
000300,2025-07-05 18:45:28,Dine-In,44.98
000301,2025-07-05 18:46:17,Dine-In,175.88
000302,2025-07-05 18:47:29,Dine-In,74.09
000303,2025-07-05 18:50:05,Dine-In,92.06
000304,2025-07-05 19:03:07,Dine-In,33.13
000305,2025-07-05 19:06:57,Dine-In,68.19
000306,2025-07-05 19:10:23,Dine-In,214.19
000307,2025-07-05 19:18:03,Dine-In,43.03
000308,2025-07-05 19:23:30,Dine-In,67.47
000309,2025-07-05 19:23:35,Dine-In,89.25
000310,2025-07-05 19:30:34,Dine-In,29.82
000311,2025-07-05 19:36:54,Dine-In,79.03
000312,2025-07-05 19:51:24,Dine-In,95.66
000313,2025-07-05 19:53:11,Dine-In,53.81
000314,2025-07-05 19:53:53,Dine-In,111.87
000315,2025-07-05 19:53:56,Dine-In,38.11
000316,2025-07-05 19:56:33,Dine-In,44.86
000317,2025-07-05 20:04:12,Dine-In,148.5
000318,2025-07-05 20:25:23,Dine-In,35.59
000319,2025-07-05 20:26:24,Dine-In,87.17
000320,2025-07-05 20:29:29,Dine-In,83.58
000321,2025-07-05 20:29:53,Dine-In,70.93
000322,2025-07-05 20:38:28,Dine-In,195.73
000323,2025-07-05 20:40:28,Dine-In,176.68
000324,2025-07-05 20:49:54,Dine-In,171.7
000325,2025-07-05 20:53:19,Dine-In,51.64
000326,2025-07-05 21:00:05,Dine-In,35.53
000327,2025-07-05 21:05:27,Dine-In,109.59
000328,2025-07-05 21:07:55,Dine-In,118.74
000329,2025-07-05 21:08:42,Dine-In,172.09
000330,2025-07-05 21:17:18,Dine-In,105.6
000331,2025-07-05 21:17:32,Dine-In,162.96
000332,2025-07-05 21:24:52,Dine-In,49.45
000333,2025-07-05 21:30:19,Dine-In,41.07
000334,2025-07-05 21:33:48,Dine-In,144.2
000335,2025-07-05 21:39:35,Dine-In,66.59
000336,2025-07-05 21:41:48,Dine-In,44.52
000337,2025-07-05 21:47:52,Dine-In,123.52
000338,2025-07-05 21:54:00,Dine-In,69.01
000339,2025-07-06 11:07:27,Dine-In,34.43
000340,2025-07-06 11:28:49,Dine-In,156.78
000341,2025-07-06 12:00:59,Dine-In,88.23
000342,2025-07-06 12:10:41,Dine-In,52.67
000343,2025-07-06 12:12:36,Dine-In,74.94
000344,2025-07-06 12:40:44,Dine-In,149.02
000345,2025-07-06 12:42:59,Dine-In,77.36
000346,2025-07-06 12:45:37,Dine-In,37.87
000347,2025-07-06 13:10:48,Dine-In,154.71
000348,2025-07-06 13:17:07,Dine-In,51.22
000349,2025-07-06 13:17:23,Dine-In,122.67
000350,2025-07-06 13:17:34,Dine-In,52.17
000351,2025-07-06 13:56:47,Dine-In,105.89
000352,2025-07-06 14:17:17,Dine-In,244.61
000353,2025-07-06 15:02:55,Dine-In,191.62
000354,2025-07-06 16:21:42,Dine-In,72.65
000355,2025-07-06 17:06:14,Dine-In,91.23
000356,2025-07-06 17:12:24,Dine-In,127.62
000357,2025-07-06 17:14:21,Dine-In,125.57
000358,2025-07-06 17:35:49,Dine-In,106.54
000359,2025-07-06 17:39:08,Dine-In,44.2
000360,2025-07-06 17:46:47,Dine-In,223.83
000361,2025-07-06 17:54:49,Dine-In,39.43
000362,2025-07-06 18:05:56,Dine-In,118.09
000363,2025-07-06 18:06:07,Dine-In,92.71
000364,2025-07-06 18:12:13,Dine-In,180.84
000365,2025-07-06 18:12:19,Dine-In,43.52
000366,2025-07-06 18:14:52,Dine-In,132.15
000367,2025-07-06 18:15:39,Dine-In,175.69
000368,2025-07-06 18:39:22,Dine-In,85.72
000369,2025-07-06 18:47:44,Dine-In,162.3
000370,2025-07-06 18:48:01,Dine-In,105.0
000371,2025-07-06 18:48:50,Dine-In,610.37
000372,2025-07-06 18:58:08,Dine-In,169.1
000373,2025-07-06 19:05:49,Dine-In,279.68
000374,2025-07-06 19:15:53,Dine-In,239.02
000375,2025-07-06 19:21:11,Dine-In,73.82
000376,2025-07-06 19:25:40,Dine-In,125.45
000377,2025-07-06 19:32:11,Dine-In,285.23
000378,2025-07-06 19:41:14,Dine-In,52.39
000379,2025-07-06 19:46:11,Dine-In,52.12
000380,2025-07-06 19:55:17,Dine-In,150.08
000381,2025-07-06 19:56:38,Dine-In,68.31
000382,2025-07-06 20:21:44,Dine-In,39.04
000383,2025-07-06 20:22:25,Dine-In,56.6
000384,2025-07-06 20:29:21,Dine-In,122.11
000385,2025-07-06 20:58:18,Dine-In,276.73
000386,2025-07-06 21:06:38,Dine-In,76.72
000387,2025-07-06 21:13:27,Dine-In,25.0
000388,2025-07-06 21:20:59,Dine-In,211.5
000389,2025-07-06 21:25:26,Dine-In,49.75
000390,2025-07-06 21:29:29,Dine-In,69.53
000391,2025-07-06 21:34:05,Dine-In,199.97
000392,2025-07-06 21:57:16,Dine-In,108.75
000393,2025-07-07 12:21:35,Dine-In,112.05
000394,2025-07-07 12:58:38,Dine-In,30.34
000395,2025-07-07 13:07:10,Dine-In,120.88
000396,2025-07-07 13:13:38,Dine-In,51.39
000397,2025-07-07 13:38:59,Dine-In,47.81
000398,2025-07-07 14:12:48,Dine-In,112.28
000399,2025-07-07 14:30:04,Dine-In,228.54
000400,2025-07-07 16:20:28,Dine-In,152.07
000401,2025-07-07 16:33:21,Dine-In,50.64
000402,2025-07-07 16:56:04,Dine-In,153.72
000403,2025-07-07 17:00:08,Dine-In,679.78
000404,2025-07-07 17:07:55,Dine-In,62.97
000405,2025-07-07 17:18:43,Dine-In,66.63
000406,2025-07-07 17:19:18,Dine-In,272.97
000407,2025-07-07 17:24:20,Dine-In,60.06
000408,2025-07-07 17:32:39,Dine-In,150.98
000409,2025-07-07 17:36:51,Dine-In,187.64
000410,2025-07-07 17:46:16,Dine-In,66.68
000411,2025-07-07 17:50:37,Dine-In,65.43
000412,2025-07-07 17:51:06,Dine-In,31.79
000413,2025-07-07 17:53:45,Dine-In,39.83
000414,2025-07-07 18:04:40,Dine-In,183.24
000415,2025-07-07 18:31:38,Dine-In,188.16
000416,2025-07-07 18:32:40,Dine-In,114.63
000417,2025-07-07 18:52:01,Dine-In,45.72
000418,2025-07-07 18:53:11,Dine-In,77.61
000419,2025-07-07 19:21:51,Dine-In,49.38
000420,2025-07-07 19:53:00,Dine-In,67.58
000421,2025-07-07 20:16:20,Dine-In,58.05
000422,2025-07-07 20:56:59,Dine-In,118.42
000423,2025-07-07 21:08:47,Dine-In,56.43
000424,2025-07-07 21:09:17,Dine-In,185.81
000425,2025-07-07 21:51:21,Dine-In,77.03
000426,2025-07-07 21:52:24,Dine-In,44.07
000427,2025-07-08 11:11:15,Dine-In,39.39
000428,2025-07-08 11:33:42,Dine-In,53.84
000429,2025-07-08 12:21:10,Dine-In,176.52
000430,2025-07-08 12:21:44,Dine-In,104.78
000431,2025-07-08 12:59:16,Dine-In,204.87
000432,2025-07-08 13:03:32,Dine-In,103.78
000433,2025-07-08 13:09:25,Dine-In,97.67
000434,2025-07-08 13:50:11,Dine-In,36.75
000435,2025-07-08 14:21:26,Dine-In,47.32
000436,2025-07-08 14:58:20,Dine-In,79.72
000437,2025-07-08 15:17:32,Dine-In,213.28
000438,2025-07-08 15:33:27,Dine-In,178.36
000439,2025-07-08 15:38:34,Dine-In,77.6
000440,2025-07-08 16:22:14,Dine-In,85.05
000441,2025-07-08 16:25:46,Dine-In,163.76
000442,2025-07-08 16:59:31,Dine-In,170.85
000443,2025-07-08 17:05:56,Dine-In,48.52
000444,2025-07-08 17:18:39,Dine-In,37.0
000445,2025-07-08 17:26:03,Dine-In,46.18
000446,2025-07-08 17:37:17,Dine-In,104.35
000447,2025-07-08 17:40:21,Dine-In,83.47
000448,2025-07-08 17:41:22,Dine-In,63.78
000449,2025-07-08 17:43:10,Dine-In,139.47
000450,2025-07-08 17:44:00,Dine-In,54.47
000451,2025-07-08 17:58:41,Dine-In,34.43
000452,2025-07-08 18:27:04,Dine-In,37.09
000453,2025-07-08 18:41:26,Dine-In,363.21
000454,2025-07-08 18:46:16,Dine-In,37.78
000455,2025-07-08 18:47:11,Dine-In,58.58
000456,2025-07-08 19:23:43,Dine-In,46.63
000457,2025-07-08 19:24:27,Dine-In,162.9
000458,2025-07-08 19:53:54,Dine-In,147.53
000459,2025-07-08 20:15:56,Dine-In,143.96
000460,2025-07-08 20:16:31,Dine-In,116.76
000461,2025-07-08 20:17:12,Dine-In,45.24
000462,2025-07-08 20:32:21,Dine-In,194.15
000463,2025-07-08 20:34:02,Dine-In,70.65
000464,2025-07-08 20:39:31,Dine-In,132.3
000465,2025-07-08 20:47:14,Dine-In,86.76
000466,2025-07-08 20:58:58,Dine-In,49.62
000467,2025-07-09 11:00:58,Dine-In,97.73
000468,2025-07-09 11:48:56,Dine-In,98.57
000469,2025-07-09 12:07:12,Dine-In,61.44
000470,2025-07-09 12:07:27,Dine-In,177.75
000471,2025-07-09 12:24:59,Dine-In,65.17
000472,2025-07-09 13:12:49,Dine-In,241.59
000473,2025-07-09 13:23:14,Dine-In,111.2
000474,2025-07-09 13:38:43,Dine-In,142.45
000475,2025-07-09 13:44:19,Dine-In,187.13
000476,2025-07-09 13:49:01,Dine-In,145.42
000477,2025-07-09 14:15:57,Dine-In,95.73
000478,2025-07-09 14:30:17,Dine-In,46.81
000479,2025-07-09 14:38:31,Dine-In,52.93
000480,2025-07-09 14:49:41,Dine-In,143.45
000481,2025-07-09 14:51:31,Dine-In,188.07
000482,2025-07-09 15:01:36,Dine-In,59.5
000483,2025-07-09 15:35:42,Dine-In,139.98
000484,2025-07-09 15:36:32,Dine-In,120.58
000485,2025-07-09 15:47:19,Dine-In,88.16
000486,2025-07-09 16:03:31,Dine-In,75.31
000487,2025-07-09 16:05:58,Dine-In,263.08
000488,2025-07-09 16:12:56,Dine-In,125.33
000489,2025-07-09 17:02:23,Dine-In,172.61
000490,2025-07-09 17:03:43,Dine-In,86.16
000491,2025-07-09 17:07:07,Dine-In,64.9
000492,2025-07-09 17:12:28,Dine-In,107.82
000493,2025-07-09 17:12:48,Dine-In,50.79
000494,2025-07-09 17:16:44,Dine-In,113.34
000495,2025-07-09 17:21:02,Dine-In,81.1
000496,2025-07-09 17:21:05,Dine-In,32.33
000497,2025-07-09 17:31:32,Dine-In,127.42
000498,2025-07-09 17:43:21,Dine-In,56.51
000499,2025-07-09 17:46:38,Dine-In,53.03
000500,2025-07-09 17:47:53,Dine-In,69.34
000501,2025-07-09 17:51:48,Dine-In,85.62
000502,2025-07-09 17:51:49,Dine-In,160.94
000503,2025-07-09 17:55:49,Dine-In,65.2
000504,2025-07-09 18:00:02,Dine-In,169.89
000505,2025-07-09 18:03:25,Dine-In,116.83
000506,2025-07-09 18:13:48,Dine-In,216.01
000507,2025-07-09 18:30:26,Dine-In,139.08
000508,2025-07-09 18:58:50,Dine-In,71.82
000509,2025-07-09 19:02:06,Dine-In,51.43
000510,2025-07-09 19:26:46,Dine-In,150.95
000511,2025-07-09 19:36:53,Dine-In,54.8
000512,2025-07-09 19:45:56,Dine-In,145.22
000513,2025-07-09 19:50:06,Dine-In,188.25
000514,2025-07-09 20:00:49,Dine-In,124.54
000515,2025-07-09 20:08:46,Dine-In,104.13
000516,2025-07-09 20:16:50,Dine-In,126.0
000517,2025-07-09 20:33:17,Dine-In,54.96
000518,2025-07-09 20:42:44,Dine-In,49.63
000519,2025-07-09 21:23:16,Dine-In,72.14
000520,2025-07-09 21:32:42,Dine-In,95.64
000521,2025-07-10 11:07:25,Dine-In,199.84
000522,2025-07-10 11:18:41,Dine-In,43.43
000523,2025-07-10 12:06:30,Dine-In,145.88
000524,2025-07-10 12:25:34,Dine-In,110.64
000525,2025-07-10 12:28:10,Dine-In,40.39
000526,2025-07-10 12:34:12,Dine-In,202.79
000527,2025-07-10 13:12:52,Dine-In,37.68
000528,2025-07-10 13:39:31,Dine-In,93.13
000529,2025-07-10 14:51:17,Dine-In,124.24
000530,2025-07-10 15:06:18,Dine-In,47.08
000531,2025-07-10 15:30:44,Dine-In,32.37
000532,2025-07-10 15:38:03,Dine-In,206.78
000533,2025-07-10 15:44:41,Dine-In,113.7
000534,2025-07-10 15:50:14,Dine-In,76.64
000535,2025-07-10 16:02:24,Dine-In,203.23
000536,2025-07-10 16:10:10,Dine-In,224.43
